Município;Bovinos;Bubalinos;Equinos;Asininos;Muares;Caprinos;Ovinos;Suínos;Galinhas, galos, frangas, frangos e pintos;Codornas;Patos, gansos, marrecos, perdizes e faisões;Perus;Avestruzes;Coelhos
Felipe Guerra (RN);11,08;NA;2,078125;1,05;1,217391304;53,39102564;34,36263736;5,169642857;25,12182741;NA;14,64;4,25;NA;NA
Fernando Pedroza (RN);35,01612903;NA;4,454545455;2,071428571;1,674418605;87,7254902;83,06349206;6,125;30,29230769;NA;7,333333333;NA;NA;NA
Florânia (RN);24,2173913;NA;2,666666667;1,308641975;1,257575758;21,96511628;39,24528302;8,025316456;41,60759494;NA;NA;6,5;NA;NA
Francisco Dantas (RN);16,38709677;NA;2,27027027;1,173076923;NA;24,5;21,83783784;4,285714286;35,07857143;NA;16,51666667;5,714285714;NA;NA
Frutuoso Gomes (RN);11,49375;NA;1,818181818;1,169230769;1,185185185;11,19444444;12,66071429;2,444444444;31,21019108;NA;9,076923077;NA;NA;NA
Galinhos (RN);20,57692308;NA;5,142857143;1,714285714;1,2;17;29,60606061;7,428571429;31,71052632;NA;15,94444444;3,25;NA;NA
Goianinha (RN);59,08510638;NA;5,689655172;1;2,55;16,55555556;23,625;8,818181818;42,50909091;NA;6,2;NA;NA;NA
Governador Dix-Sept Rosado (RN);13,33846154;NA;1,989304813;1,5;1,155555556;53,08308605;36,28979592;6,126984127;261,5387755;4268;14,41666667;4,944444444;NA;NA
Grossos (RN);16,875;NA;2,696969697;6;1,833333333;56,5106383;34,09090909;8,545454545;30,80327869;NA;5,222222222;4;NA;NA
Guamaré (RN);17,49382716;NA;3,175675676;1,35483871;1,131578947;34,04545455;41,11956522;6,25;36,91346154;NA;16,92592593;NA;NA;NA
Ielmo Marinho (RN);22,0760095;NA;3,132947977;1,125;1,659090909;28,83333333;43,16393443;4,225490196;132,0108108;NA;18;6,75;NA;NA
Ipanguaçu (RN);19,39835165;NA;3,730496454;1,565217391;1,416666667;21,94285714;33,5255814;4,256637168;31,68181818;NA;11,28947368;9,333333333;NA;NA
Ipueira (RN);32,05813953;NA;3,107142857;1,424242424;NA;18,64;25,53571429;13,57142857;60,76315789;NA;NA;NA;NA;NA
Itajá (RN);30,97142857;NA;2,605263158;1,193548387;1,7;64,66666667;68,04545455;8,590909091;31,16981132;NA;7,857142857;3;NA;NA
Itaú (RN);20,2;NA;2,5;1,5;1,333333333;69,23076923;37,15625;12,23809524;37,53571429;NA;NA;NA;NA;NA
Jaçanã (RN);8,101694915;NA;2,571428571;1,25;1;9,676470588;10,01851852;5,583333333;59,97709924;NA;16,4;5,375;NA;NA
Jandaíra (RN);19,656;NA;2,545454545;1,289473684;1,322580645;25,92307692;44,27368421;5,236842105;30,55752212;NA;15,73333333;6,25;NA;NA
Janduís (RN);23,7715736;NA;4,115942029;1,492753623;1,472727273;34,38596491;40,63694268;5,9;26,63934426;NA;10,28571429;4,619047619;NA;8,5
Januário Cicco (RN);8,980997625;NA;2,466165414;1,083333333;1;12,72727273;19,68333333;3,598039216;22,88852459;NA;13,61538462;6,055555556;NA;NA
Japi (RN);15,23255814;NA;2,093023256;1,533333333;1,204545455;30,92592593;32,64864865;4,507936508;25,53061224;NA;11,46153846;8,470588235;NA;NA
Jardim de Angicos (RN);20,1965812;NA;3,327272727;1,235294118;1,176470588;47,25;41,14893617;4,583333333;27,86597938;NA;9,482758621;7;NA;NA
Jardim de Piranhas (RN);54,81165919;NA;4,416666667;1,234375;1,434782609;29,13888889;48,35849057;22,80769231;52,50867052;NA;27,46153846;8,166666667;NA;NA
Jardim do Seridó (RN);22,71067416;NA;2,181818182;1,43697479;1,098039216;33,17241379;34,852;9,984615385;39,43506494;NA;14,64788732;4,952380952;NA;NA
João Câmara (RN);20,15415822;NA;2,925;1,333333333;1,155339806;22,61165049;18,24199288;7,139896373;38,91260504;NA;15,78333333;NA;NA;NA
João Dias (RN);11,36;NA;1,948717949;1,107142857;1,136986301;19,3539823;12,44444444;5,797101449;26,11347518;NA;7,5625;4;NA;NA
José da Penha (RN);14,96623377;NA;1,780952381;1,309278351;1,380434783;15,96923077;15,97163121;4,019047619;39,28205128;NA;7,65;6,413793103;NA;NA
Jucurutu (RN);32,90095847;NA;2,495412844;1,562674095;1,519230769;28,24489796;29,25872093;13,12107623;36,69491525;NA;10,07272727;5,588235294;NA;NA
Jundiá (RN);12,57386364;NA;2,304347826;1;NA;6,631578947;9,78;9,3;47,21568627;NA;5,285714286;4,125;NA;NA
Lagoa d'Anta (RN);12,90659341;NA;3,296875;1,625;NA;6,125;9,3;3,409090909;23,63414634;NA;15,625;7,2;NA;NA
Lagoa de Pedras (RN);15,58651026;NA;3,014705882;1,75;1,611111111;6,032258065;9,666666667;3,461538462;27,46875;NA;8,909090909;3,6;NA;NA
Lagoa de Velhos (RN);21,64634146;NA;3,5;2,642857143;1,277777778;18;18,53846154;7,321428571;45,08108108;NA;21,41176471;NA;NA;NA
Lagoa Nova (RN);5,88209607;NA;1,75;1,215517241;1,261904762;7,579439252;7,449438202;3,507481297;36,2250662;NA;8,128205128;5,29787234;NA;NA
Lagoa Salgada (RN);11,19313305;NA;2,38;1,25;NA;5,9;9,80952381;5,84057971;28,81714286;NA;8,111111111;6,25;NA;NA
Lajes (RN);21,2145749;NA;2,578947368;1,885542169;1,53030303;53,22692308;49,96414343;5,385185185;28,96952909;NA;8,342857143;4,384615385;NA;NA
Lajes Pintadas (RN);12,62857143;NA;2,745098039;1,4;1,4;10,41666667;10,8627451;3,698412698;28,61904762;NA;NA;NA;NA;NA
Lucrécia (RN);11,8;NA;2,636363636;1;2,25;NA;16,65;3,685714286;24,79661017;NA;NA;NA;NA;NA
Luís Gomes (RN);9,626506024;NA;1,948717949;1,17218543;1,310344828;10,01574803;17,51612903;3,979057592;37,10526316;NA;9;6,711111111;NA;2,5
Macaíba (RN);20,58823529;NA;2,977876106;1,227272727;1,466666667;5,875;13,44919786;9,141414141;991,9945255;NA;14,34482759;6,434782609;NA;NA
Macau (RN);19,8;NA;3,780821918;3,388888889;1,405405405;47,3255814;38,20689655;9,714285714;41,15151515;NA;12,46875;NA;NA;NA
Major Sales (RN);34,31034483;NA;2,37037037;1,333333333;1,304347826;46,55555556;25,68421053;6,2;40,43478261;NA;7,444444444;6,5;NA;NA
Marcelino Vieira (RN);20,46405229;NA;2,529411765;1,146788991;1,389473684;23,9137931;22,72440945;4,258064516;106,826087;NA;7,032258065;3,863636364;NA;NA
Martins (RN);9,379032258;NA;2,46875;1,155172414;1,20754717;10,31578947;8,209302326;3,7;38,12222222;NA;21,25;NA;NA;NA
Maxaranguape (RN);13,90410959;NA;2,536585366;1;1,153846154;5,25;14,10344828;6,916666667;49,30909091;NA;7;NA;NA;NA
Messias Targino (RN);67,04615385;NA;4,848484848;1,409090909;1,266666667;39;80,56923077;15,66666667;72,05769231;NA;35,5;NA;NA;NA
Montanhas (RN);40,81914894;NA;4,714285714;1,2;NA;13,4375;19,66666667;4,428571429;37,34285714;NA;32,85714286;5;NA;NA
Monte Alegre (RN);24,4054878;NA;5,113636364;1,5;1,461538462;15,35897436;11,80357143;8,257575758;30,75;NA;8,9375;NA;NA;NA
Monte das Gameleiras (RN);11,95333333;NA;2,255813953;1,142857143;1,083333333;9,648148148;9,909090909;4,162790698;30,86486486;NA;7,25;3,4;NA;NA
Mossoró (RN);15,20667727;NA;2,046875;1,792349727;1,363333333;40,07335907;26,36127168;12,04761905;587,3474295;NA;13,02272727;8,245614035;NA;12
Natal (RN);21,5;NA;3,333333333;NA;NA;NA;15,16666667;28,27272727;2731,230769;NA;NA;NA;NA;NA
Nísia Floresta (RN);36,42857143;NA;5,223880597;1,125;1,5;14,90909091;39,05555556;12,5625;6917,384615;NA;11,33333333;NA;NA;NA
Nova Cruz (RN);28,69776119;NA;4,581521739;1,257142857;1,436363636;14,75;19,4;6,699115044;32,41784038;NA;14;7,875;NA;NA
Olho d'Água do Borges (RN);15,62295082;NA;2,821428571;1,724137931;1,071428571;25,55172414;24,48979592;5,166666667;27,17557252;NA;21,19148936;5,666666667;NA;NA
Ouro Branco (RN);24,8708134;NA;3,386363636;1,244444444;1,727272727;30,28571429;34,36082474;16,54;44,52222222;NA;19,05882353;NA;NA;NA
Paraná (RN);12,81283422;NA;1,851851852;1,097902098;1,0625;12,45070423;11;4,845238095;43,47191011;NA;11,58333333;6,5;NA;NA
Paraú (RN);45,09734513;NA;3,739130435;2,169811321;1,875;53,03571429;68,73529412;6,485714286;47,62195122;NA;13,25;3,85;NA;NA
Parazinho (RN);20,34931507;NA;2,333333333;1,111111111;1,285714286;20,43181818;36,832;7,03125;38,14788732;NA;20,66666667;14,83333333;NA;NA
Parelhas (RN);18,1559633;NA;4,431818182;1,275862069;NA;22,14673913;23,41346154;12,88095238;46,94140625;NA;14,62162162;7,153846154;NA;NA
Rio do Fogo (RN);14,44680851;NA;2,3125;NA;1;NA;22,52941176;3,75;35,76470588;NA;24,5;NA;NA;NA
Passa e Fica (RN);8,191056911;NA;1,626865672;1,071428571;1,533333333;4,304347826;6,833333333;4,676056338;24,38938053;NA;6,6;4,5;NA;NA
Passagem (RN);32,01234568;NA;3,638888889;1,375;NA;8,692307692;16,80769231;5,416666667;55;NA;17,3;NA;NA;NA
Patu (RN);21,93436293;NA;2,439655172;1,701492537;1,325842697;19,80882353;28,55154639;5,55952381;29,61061947;NA;20,11267606;NA;NA;NA
Santa Maria (RN);46,94949495;NA;6,524590164;1;1,6;24,875;24,79069767;3,411764706;27,82417582;NA;30,8;NA;NA;NA
Pau dos Ferros (RN);18,45848375;NA;2,602040816;1,471428571;1,294117647;22,52941176;24,95275591;6,631147541;38,21370968;6,333333333;20,92473118;4,15;NA;6,769230769
Pedra Grande (RN);18,90163934;NA;3;NA;1;14,375;20,51515152;7,933333333;48;NA;18;8,333333333;NA;NA
Pedra Preta (RN);14,63265306;NA;2,2;2;1,108695652;32,92857143;27,05309735;2,213333333;24,37442922;NA;23,19047619;NA;NA;NA
